Age;Gender;Period;Unemployed
15 to 24 years;Both sexes;2006-11-10;10,1
15 years and over;Females;2006-11-11;4,7
15 to 24 years;Males;2006-11-12;11,4
15 years and over;Males;2006-11-13;5
15 to 24 years;Females;2006-11-14;8,6
15 years and over;Both sexes;2006-11-15;4,8
15 years and over;Both sexes;2006-11-16;4,5
15 to 24 years;Females;2006-11-17;10
15 years and over;Males;2006-11-18;4,2
15 to 24 years;Males;2006-11-19;10,2
15 years and over;Females;2006-11-20;4,9
15 to 24 years;Both sexes;2006-11-21;10,1
15 to 24 years;Both sexes;2006-11-22;10,3
15 years and over;Females;2006-11-23;6,1
15 to 24 years;Males;2006-11-24;10,1
15 years and over;Males;2006-11-25;4,4
15 to 24 years;Females;2006-11-26;10,5
15 years and over;Both sexes;2006-11-27;5,2
15 years and over;Both sexes;2006-11-28;4,6
15 to 24 years;Females;2006-11-29;8,7
15 years and over;Males;2006-11-30;4,7
15 to 24 years;Males;2006-12-01;11,6
15 years and over;Females;2006-12-02;4,5
15 to 24 years;Both sexes;2006-12-03;10,3
15 to 24 years;Both sexes;2006-12-04;9
15 years and over;Females;2006-12-05;5,4
15 to 24 years;Males;2006-12-06;6,8
15 years and over;Males;2006-12-07;3,6
15 to 24 years;Females;2006-12-08;11,5
15 years and over;Both sexes;2006-12-09;4,4
15 years and over;Both sexes;2006-12-10;4,4
15 to 24 years;Females;2006-12-11;9,9
15 years and over;Males;2006-12-12;3,7
15 to 24 years;Males;2006-12-13;6,8
15 years and over;Females;2006-12-14;5,3
15 to 24 years;Both sexes;2006-12-15;8,2
15 to 24 years;Both sexes;2006-12-16;8,6
15 years and over;Females;2006-12-17;5,4
15 to 24 years;Males;2006-12-18;6,7
15 years and over;Males;2006-12-19;4,1
15 to 24 years;Females;2006-12-20;11
15 years and over;Both sexes;2006-12-21;4,7
15 years and over;Both sexes;2006-12-22;4,5
15 to 24 years;Females;2006-12-23;8,5
15 years and over;Males;2006-12-24;4,3
15 to 24 years;Males;2006-12-25;6,7
15 years and over;Females;2006-12-26;4,8
15 to 24 years;Both sexes;2006-12-27;7,5
15 to 24 years;Both sexes;2006-12-28;10
15 years and over;Females;2006-12-29;5,2
15 to 24 years;Males;2006-12-30;10,4
15 years and over;Males;2006-12-31;5,4
15 to 24 years;Females;2007-01-01;9,7
15 years and over;Both sexes;2007-01-02;5,3
15 years and over;Both sexes;2007-01-03;5,5
15 to 24 years;Females;2007-01-04;9,6
15 years and over;Males;2007-01-05;5,5
15 to 24 years;Males;2007-01-06;10,8
15 years and over;Females;2007-01-07;5,4
15 to 24 years;Both sexes;2007-01-08;10,3
15 to 24 years;Both sexes;2007-01-09;10,4
15 years and over;Females;2007-01-10;5,4
15 to 24 years;Males;2007-01-11;10,5
15 years and over;Males;2007-01-12;5,6
15 to 24 years;Females;2007-01-13;10,1
15 years and over;Both sexes;2007-01-14;5,5
15 years and over;Both sexes;2007-01-15;5,8
15 to 24 years;Females;2007-01-16;10,1
15 years and over;Males;2007-01-17;6
15 to 24 years;Males;2007-01-18;11,8
15 years and over;Females;2007-01-19;5,4
15 to 24 years;Both sexes;2007-01-20;11
15 to 24 years;Both sexes;2007-01-21;9,1
15 years and over;Females;2007-01-22;5,4
15 to 24 years;Males;2007-01-23;9,5
15 years and over;Males;2007-01-24;5,9
15 to 24 years;Females;2007-01-25;8,7
15 years and over;Both sexes;2007-01-26;5,7
15 years and over;Both sexes;2007-01-27;6
15 to 24 years;Females;2007-01-28;7,6
15 years and over;Males;2007-01-29;6,7
15 to 24 years;Males;2007-01-30;14,3
15 years and over;Females;2007-01-31;5,2
15 to 24 years;Both sexes;2007-02-01;11,2
15 to 24 years;Both sexes;2007-02-02;10,3
15 years and over;Females;2007-02-03;5,4
15 to 24 years;Males;2007-02-04;12,6
15 years and over;Males;2007-02-05;6,5
15 to 24 years;Females;2007-02-06;7,7
15 years and over;Both sexes;2007-02-07;6
15 years and over;Both sexes;2007-02-08;6,5
15 to 24 years;Females;2007-02-09;8,9
15 years and over;Males;2007-02-10;7
15 to 24 years;Males;2007-02-11;14,2
15 years and over;Females;2007-02-12;5,9
15 to 24 years;Both sexes;2007-02-13;11,8
