Age;Gender;Period;Unemployed
15 to 24 years;Females;2006-02-02;9,9
15 years and over;Males;2006-02-03;7,1
15 to 24 years;Males;2006-02-04;14,2
15 years and over;Females;2006-02-05;5,9
15 to 24 years;Both sexes;2006-02-06;12,1
15 to 24 years;Both sexes;2006-02-07;10,4
15 years and over;Females;2006-02-08;5,6
15 to 24 years;Males;2006-02-09;12,4
15 years and over;Males;2006-02-10;6,9
15 to 24 years;Females;2006-02-11;8,3
15 years and over;Both sexes;2006-02-12;6,3
15 years and over;Both sexes;2006-02-13;6,3
15 to 24 years;Females;2006-02-14;8,5
15 years and over;Males;2006-02-15;6,6
15 to 24 years;Males;2006-02-16;13,4
15 years and over;Females;2006-02-17;5,9
15 to 24 years;Both sexes;2006-02-18;11,1
15 to 24 years;Both sexes;2006-02-19;11,7
15 years and over;Females;2006-02-20;5,7
